dataType,date,tradingPartner,value
docCount,2018-03-22,A,131947
docVolume,2018-03-22,A,147199196
poValue,2018-03-22,A,137128565
invValue,2018-03-22,A,1215873515
payValue,2018-03-22,A,0
OlddocCount,2018-03-22,B,16570
OlddocVolume,2018-03-22,B,7237151
OldpoValue,2018-03-22,B,0
OldinvValue,2018-03-22,B,0
OldpayValue,2018-03-22,B,0
OlddocCount,2018-03-22,C,2896
OlddocVolume,2018-03-22,C,141698
OldpoValue,2018-03-22,C,0
OldinvValue,2018-03-22,C,0
OldpayValue,2018-03-22,C,0
OlddocCount,2018-03-22,D,131
OlddocVolume,2018-03-22,D,126979
OldpoValue,2018-03-22,D,0
OldinvValue,2018-03-22,D,0
OldpayValue,2018-03-22,D,0
OlddocCount,2018-03-22,E,1026
OlddocVolume,2018-03-22,E,2209182
OldpoValue,2018-03-22,E,0
OldinvValue,2018-03-22,E,0
OldpayValue,2018-03-22,E,0
OlddocCount,2018-03-22,F,10
OlddocVolume,2018-03-22,F,473
OldpoValue,2018-03-22,F,0
OldinvValue,2018-03-22,F,0
OldpayValue,2018-03-22,F,0
OlddocCount,2018-03-22,G,0
OlddocVolume,2018-03-22,G,0
OldpoValue,2018-03-22,G,0
OldinvValue,2018-03-22,G,0
OldpayValue,2018-03-22,G,0
OlddocCount,2018-03-22,H,200
OlddocVolume,2018-03-22,H,177847
OldpoValue,2018-03-22,H,0
OldinvValue,2018-03-22,H,0
OldpayValue,2018-03-22,H,0
OlddocCount,2018-03-22,I,2843
OlddocVolume,2018-03-22,I,1445945
OldpoValue,2018-03-22,I,0
OldinvValue,2018-03-22,I,0
OldpayValue,2018-03-22,I,0
OlddocCount,2018-03-22,J,1537
OlddocVolume,2018-03-22,J,323077
OldpoValue,2018-03-22,J,34553434
OldinvValue,2018-03-22,J,0
OldpayValue,2018-03-22,J,0
OlddocCount,2018-03-22,K,3191
OlddocVolume,2018-03-22,K,660084
OldpoValue,2018-03-22,K,0
OldinvValue,2018-03-22,K,0
OldpayValue,2018-03-22,K,0
OlddocCount,2018-03-22,L,0
OlddocVolume,2018-03-22,L,0
OldpoValue,2018-03-22,L,0
OldinvValue,2018-03-22,L,0
OldpayValue,2018-03-22,L,0
OlddocCount,2018-03-22,M,0
OlddocVolume,2018-03-22,M,0
OldpoValue,2018-03-22,M,0
OldinvValue,2018-03-22,M,0
OldpayValue,2018-03-22,M,0
OlddocCount,2018-03-22,N,2663
OlddocVolume,2018-03-22,N,867569
OldpoValue,2018-03-22,N,0
OldinvValue,2018-03-22,N,0
OldpayValue,2018-03-22,N,0
OlddocCount,2018-03-22,O,3098
OlddocVolume,2018-03-22,O,511770
OldpoValue,2018-03-22,O,0
OldinvValue,2018-03-22,O,0
OldpayValue,2018-03-22,O,0
OlddocCount,2018-03-22,P,1664
OlddocVolume,2018-03-22,P,391517
OldpoValue,2018-03-22,P,0
OldinvValue,2018-03-22,P,0
OldpayValue,2018-03-22,P,0
OlddocCount,2018-03-22,Q,0
OlddocVolume,2018-03-22,Q,0
OldpoValue,2018-03-22,Q,0
OldinvValue,2018-03-22,Q,0
OldpayValue,2018-03-22,Q,0
OlddocCount,2018-03-22,R,1661
OlddocVolume,2018-03-22,R,479492
OldpoValue,2018-03-22,R,0
OldinvValue,2018-03-22,R,0
OldpayValue,2018-03-22,R,0
OlddocCount,2018-03-22,S,338
OlddocVolume,2018-03-22,S,71855
OldpoValue,2018-03-22,S,10028
OldinvValue,2018-03-22,S,0
OldpayValue,2018-03-22,S,0
OlddocCount,2018-03-22,T,739
OlddocVolume,2018-03-22,T,940913
OldpoValue,2018-03-22,T,0
OldinvValue,2018-03-22,T,0
OldpayValue,2018-03-22,T,0
OlddocCount,2018-03-22,U,0
OlddocVolume,2018-03-22,U,0
OldpoValue,2018-03-22,U,0
OldinvValue,2018-03-22,U,0
OldpayValue,2018-03-22,U,0
docCount,2018-03-23,A,139754
docVolume,2018-03-23,A,148135357
poValue,2018-03-23,A,116986523
invValue,2018-03-23,A,94940515
payValue,2018-03-23,A,0
OlddocCount,2018-03-23,B,17476
OlddocVolume,2018-03-23,B,7720615
OldpoValue,2018-03-23,B,0
OldinvValue,2018-03-23,B,0
OldpayValue,2018-03-23,B,0
OlddocCount,2018-03-23,C,4431
OlddocVolume,2018-03-23,C,803385
OldpoValue,2018-03-23,C,34386912
OldinvValue,2018-03-23,C,0
OldpayValue,2018-03-23,C,0
OlddocCount,2018-03-23,D,127
OlddocVolume,2018-03-23,D,122631
OldpoValue,2018-03-23,D,0
OldinvValue,2018-03-23,D,0
OldpayValue,2018-03-23,D,0
OlddocCount,2018-03-23,E,1186
OlddocVolume,2018-03-23,E,2836231
OldpoValue,2018-03-23,E,0
OldinvValue,2018-03-23,E,0
OldpayValue,2018-03-23,E,0
OlddocCount,2018-03-23,F,7
OlddocVolume,2018-03-23,F,338
OldpoValue,2018-03-23,F,0
OldinvValue,2018-03-23,F,0
OldpayValue,2018-03-23,F,0
OlddocCount,2018-03-23,G,0
OlddocVolume,2018-03-23,G,0
OldpoValue,2018-03-23,G,0
OldinvValue,2018-03-23,G,0
OldpayValue,2018-03-23,G,0
OlddocCount,2018-03-23,H,195
OlddocVolume,2018-03-23,H,173844
OldpoValue,2018-03-23,H,0
OldinvValue,2018-03-23,H,0
OldpayValue,2018-03-23,H,0
OlddocCount,2018-03-23,I,2764
OlddocVolume,2018-03-23,I,1394355
OldpoValue,2018-03-23,I,0
OldinvValue,2018-03-23,I,0
OldpayValue,2018-03-23,I,0
OlddocCount,2018-03-23,J,1569
OlddocVolume,2018-03-23,J,291331
OldpoValue,2018-03-23,J,42940819
OldinvValue,2018-03-23,J,0
OldpayValue,2018-03-23,J,0
OlddocCount,2018-03-23,K,2455
OlddocVolume,2018-03-23,K,523816
OldpoValue,2018-03-23,K,0
OldinvValue,2018-03-23,K,0
OldpayValue,2018-03-23,K,0
OlddocCount,2018-03-23,L,0
OlddocVolume,2018-03-23,L,0
OldpoValue,2018-03-23,L,0
OldinvValue,2018-03-23,L,0
OldpayValue,2018-03-23,L,0
OlddocCount,2018-03-23,M,0
OlddocVolume,2018-03-23,M,0
OldpoValue,2018-03-23,M,0
OldinvValue,2018-03-23,M,0
OldpayValue,2018-03-23,M,0
OlddocCount,2018-03-23,N,3054
OlddocVolume,2018-03-23,N,999987
OldpoValue,2018-03-23,N,0
OldinvValue,2018-03-23,N,0
OldpayValue,2018-03-23,N,0
OlddocCount,2018-03-23,O,2895
OlddocVolume,2018-03-23,O,477350
OldpoValue,2018-03-23,O,0
OldinvValue,2018-03-23,O,0
OldpayValue,2018-03-23,O,0
OlddocCount,2018-03-23,P,1839
OlddocVolume,2018-03-23,P,431166
OldpoValue,2018-03-23,P,0
OldinvValue,2018-03-23,P,0
OldpayValue,2018-03-23,P,0
OlddocCount,2018-03-23,Q,0
OlddocVolume,2018-03-23,Q,0
OldpoValue,2018-03-23,Q,0
OldinvValue,2018-03-23,Q,0
OldpayValue,2018-03-23,Q,0
OlddocCount,2018-03-23,R,1962
OlddocVolume,2018-03-23,R,567504
OldpoValue,2018-03-23,R,0
OldinvValue,2018-03-23,R,0
OldpayValue,2018-03-23,R,0
OlddocCount,2018-03-23,S,566
OlddocVolume,2018-03-23,S,414362
OldpoValue,2018-03-23,S,4475
OldinvValue,2018-03-23,S,0
OldpayValue,2018-03-23,S,0
OlddocCount,2018-03-23,T,607
OlddocVolume,2018-03-23,T,389215
OldpoValue,2018-03-23,T,0
OldinvValue,2018-03-23,T,0
OldpayValue,2018-03-23,T,0
OlddocCount,2018-03-23,U,0
OlddocVolume,2018-03-23,U,0
OldpoValue,2018-03-23,U,0
OldinvValue,2018-03-23,U,0
OldpayValue,2018-03-23,U,0
docCount,2018-03-24,A,65465
docVolume,2018-03-24,A,52639135
poValue,2018-03-24,A,2046921
invValue,2018-03-24,A,438237453
payValue,2018-03-24,A,0
OlddocCount,2018-03-24,B,9826
OlddocVolume,2018-03-24,B,4315051
OldpoValue,2018-03-24,B,0
OldinvValue,2018-03-24,B,0
OldpayValue,2018-03-24,B,0
OlddocCount,2018-03-24,C,1781
OlddocVolume,2018-03-24,C,1026962
OldpoValue,2018-03-24,C,0
OldinvValue,2018-03-24,C,0
OldpayValue,2018-03-24,C,0
OlddocCount,2018-03-24,D,92
OlddocVolume,2018-03-24,D,76908
OldpoValue,2018-03-24,D,0
OldinvValue,2018-03-24,D,0
OldpayValue,2018-03-24,D,0
OlddocCount,2018-03-24,E,426
OlddocVolume,2018-03-24,E,792270
OldpoValue,2018-03-24,E,0
OldinvValue,2018-03-24,E,0
OldpayValue,2018-03-24,E,0
OlddocCount,2018-03-24,F,3
OlddocVolume,2018-03-24,F,147
OldpoValue,2018-03-24,F,0
OldinvValue,2018-03-24,F,0
OldpayValue,2018-03-24,F,0
OlddocCount,2018-03-24,G,0
OlddocVolume,2018-03-24,G,0
OldpoValue,2018-03-24,G,0
OldinvValue,2018-03-24,G,0
OldpayValue,2018-03-24,G,0
OlddocCount,2018-03-24,H,146
OlddocVolume,2018-03-24,H,106808
OldpoValue,2018-03-24,H,0
OldinvValue,2018-03-24,H,0
OldpayValue,2018-03-24,H,0
OlddocCount,2018-03-24,I,1016
OlddocVolume,2018-03-24,I,514061
OldpoValue,2018-03-24,I,0
OldinvValue,2018-03-24,I,0
OldpayValue,2018-03-24,I,0
OlddocCount,2018-03-24,J,440
OlddocVolume,2018-03-24,J,43741
OldpoValue,2018-03-24,J,15339
OldinvValue,2018-03-24,J,0
OldpayValue,2018-03-24,J,0
OlddocCount,2018-03-24,K,1522
